"app","agent"
"com.cashierlive.mobileregister","Cashier/974 CFNetwork/711.1.16 Darwin/14.0.0"
"com.cashierlive.mobileregister","None"
"com.cashierlive.mobileregister","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.cashierlive.mobileregister","MobileAsset/1.1"
"com.nbcuni.nbc.portal","NBC/3.0.2.226 CFNetwork/711.1.16 Darwin/14.0.0"
"com.nbcuni.nbc.portal","None"
"com.nbcuni.nbc.portal","BRNetworking/3.0.2.226 (iPad;iPhone OS-8.1.2)"
"com.nbcuni.nbc.portal","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X; en-CA)"
"com.nbcuni.nbc.portal","ANVSDK ios.3.15.1.z.RC1 (iPad; IOS 8.1.2 like Mac OS X)"
"com.nbcuni.nbc.portal","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.nbcuni.nbc.portal","AppleCoreMedia/1.0.0.12B440 (iPad; U; CPU OS 8_1_2 like Mac OS X; en_us)"
"com.nbcuni.nbc.portal","MobileAsset/1.1"
"com.yourcompany.abg","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yourcompany.abg","None"
"com.conversiongames.guesstheemoji","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.conversiongames.guesstheemoji","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","None"
"com.conversiongames.guesstheemoji","GuessTheEmoji/6.10 CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","gamed/4.10.18.4.6.15.5.3.2 (iPad4,4; 8.1.2; 12B440; GameKit-194.15)"
"com.conversiongames.guesstheemoji","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","MobileAsset/1.1"
"com.edgerift.emergencyradiolite","Em.RadioFree 2.3 (iPad; iPhone OS 8.1.2; en_CA)"
"com.edgerift.emergencyradiolite","None"
"com.edgerift.emergencyradiolite","EmergencyRadioFree/2.3 CFNetwork/711.1.16 Darwin/14.0.0"
"com.edgerift.emergencyradiolite","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.edgerift.emergencyradiolite","MobileAsset/1.1"
"com.yogurtland.yl","Yogurtland%20Store/4.0.2 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yogurtland.yl","None"
"com.yogurtland.yl","Mozilla/5.0 (iPhone; U; CPU iPhone OS 8.1.2 like Mac OS X; en) BB FrameworkMobile BB FrameworkNative App (v4.0.2)"
"com.yogurtland.yl","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.caringbridge.app","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.caringbridge.app","None"
"com.caringbridge.app","MobileAsset/1.1"
"com.caringbridge.app","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.eatstreet.eatstreet","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.eatstreet.eatstreet","None"
"com.eatstreet.eatstreet","MobileAsset/1.1"
"com.ally.mobilebanking","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.ally.mobilebanking","None"
"com.ally.mobilebanking","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.ally.mobilebanking","MobileAsset/1.1"
"com.rethinkbooks.bookshout","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.rethinkbooks.bookshout","None"
"com.rethinkbooks.bookshout","MobileAsset/1.1"
"com.duat.iduat","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.duat.iduat","None"
"com.seusx.freeskinshuffle","Skin%20Shuffle/3 CFNetwork/711.1.16 Darwin/14.0.0"
"com.seusx.freeskinshuffle","None"
"com.seusx.freeskinshuffle","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.seusx.freeskinshuffle","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.seusx.freeskinshuffle","AppStore/2.0 iOS/8.1.2 model/iPad4,4 build/12B440 (5; dt:103)"
"com.seusx.freeskinshuffle","MobileAsset/1.1"
