"app","agent"
"com.cashierlive.mobileregister","CaptiveNetworkSupport-306.3.1 wispr"
"com.cashierlive.mobileregister","SpringBoard/50 CFNetwork/711.1.16 Darwin/14.0.0"
"com.cashierlive.mobileregister","Cashier/974 CFNetwork/711.1.16 Darwin/14.0.0"
"com.cashierlive.mobileregister","iPad4,4/8.1.2 (12B440)"
"com.cashierlive.mobileregister","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.cashierlive.mobileregister","MobileAsset/1.1"
"com.nbcuni.nbc.portal","iPad4,4/8.1.2 (12B440)"
"com.nbcuni.nbc.portal","NBC/3.0.2.226 CFNetwork/711.1.16 Darwin/14.0.0"
"com.nbcuni.nbc.portal","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X; en-CA)"
"com.nbcuni.nbc.portal","BRNetworking/3.0.2.226 (iPad;iPhone OS-8.1.2)"
"com.nbcuni.nbc.portal","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.nbcuni.nbc.portal","MobileAsset/1.1"
"com.yourcompany.abg","SpringBoard/50 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yourcompany.abg","CaptiveNetworkSupport-306.3.1 wispr"
"com.yourcompany.abg","iPad4,4/8.1.2 (12B440)"
"com.yourcompany.abg","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yourcompany.abg","MobileAsset/1.1"
"com.conversiongames.guesstheemoji","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.conversiongames.guesstheemoji","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","GuessTheEmoji/6.10 CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","gamed/4.10.18.4.6.15.5.3.2 (iPad4,4; 8.1.2; 12B440; GameKit-194.15)"
"com.conversiongames.guesstheemoji","MobileAsset/1.1"
