"app","agent"
"com.cashierlive.mobileregister","Cashier/974 CFNetwork/711.1.16 Darwin/14.0.0"
"com.cashierlive.mobileregister","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.cashierlive.mobileregister","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.nbcuni.nbc.portal","NBC/3.0.2.226 CFNetwork/711.1.16 Darwin/14.0.0"
"com.nbcuni.nbc.portal","BRNetworking/3.0.2.226 (iPad;iPhone OS-8.1.2)"
"com.nbcuni.nbc.portal","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X; en-CA)"
"com.nbcuni.nbc.portal","ANVSDK ios.3.15.1.z.RC1 (iPad; IOS 8.1.2 like Mac OS X)"
"com.nbcuni.nbc.portal","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.nbcuni.nbc.portal","AppleCoreMedia/1.0.0.12B440 (iPad; U; CPU OS 8_1_2 like Mac OS X; en_us)"
"com.yourcompany.abg","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.conversiongames.guesstheemoji","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","GuessTheEmoji/6.10 CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","MobileAsset/1.1"
"com.edgerift.emergencyradiolite","Em.RadioFree 2.3 (iPad; iPhone OS 8.1.2; en_CA)"
"com.edgerift.emergencyradiolite","EmergencyRadioFree/2.3 CFNetwork/711.1.16 Darwin/14.0.0"
"com.edgerift.emergencyradiolite","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.yogurtland.yl","Yogurtland%20Store/4.0.2 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yogurtland.yl","Mozilla/5.0 (iPhone; U; CPU iPhone OS 8.1.2 like Mac OS X; en) BB FrameworkMobile BB FrameworkNative App (v4.0.2)"
